anio,tipo_precio,unidad_medida,categoria_detalle,valor_millones_pesos
1993,corrientes,Millones de pesos a precios corrientes,Total del país,1585848.139
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico,172419.669
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes,23123.423
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Artesanías,10674.629
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Otros bienes,12448.794
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios,149296.246
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte aéreo de pasajeros,1920.71
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por ferrocarril,251.957
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por agua,545.431
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por carretera,13795.558
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios relacionados con el transporte,2341.605
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alquiler de equipos de transporte,224.555
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Agencias de viajes y otros servicios de reserva,1136.165
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de apoyo,448.528
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios culturales,2515.088
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios deportivos y recreativos,3436.924
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes,28616.554
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en establecimientos tradicionales,4685.865
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en propiedad de casas de vacaciones,5151.036
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en casa de familiares y amigos (imputación),18779.653
1993,corrientes,Millones de pesos a precios corrientes,"Total del país|Total turístico|Servicios|Restaurantes, bares y centros nocturnos<C1>",45171.348
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios,48891.823
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Comercio turístico,23143.383
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Transporte local,3373.652
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de información,340.612
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios financieros,478.875
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios inmobiliarios y de alquiler,3815.12
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios profesionales,85.228
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de salud,4341.945
1993,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Productos no destinados al consumo y otros,13313.008
1994,corrientes,Millones de pesos a precios corrientes,Total del país,1786148.36
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico,190603.293
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes,21045.86
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Artesanías,11098.091
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Otros bienes,9947.769
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios,169557.433
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte aéreo de pasajeros,2002.065
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por ferrocarril,253.328
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por agua,616.531
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por carretera,17629.2
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios relacionados con el transporte,2326.303
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alquiler de equipos de transporte,254.83
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Agencias de viajes y otros servicios de reserva,1607.004
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de apoyo,334.316
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios culturales,2917.619
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios deportivos y recreativos,3898.287
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes,33103.911
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en establecimientos tradicionales,5268.127
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en propiedad de casas de vacaciones,5952.425
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en casa de familiares y amigos (imputación),21883.359
1994,corrientes,Millones de pesos a precios corrientes,"Total del país|Total turístico|Servicios|Restaurantes, bares y centros nocturnos<C1>",51513.207
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios,53100.832
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Comercio turístico,24751.085
